date,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,Entrée,Plat,Accompagnement,Fromage,Dessert,Entrée Food Type,Plat Food Type,Accompagnement Food Type,Fromage Food Type,Dessert Food Type,Entrée_Bio,Plat_Bio,Accompagnement_Bio,Fromage_Bio,Dessert_Bio,affluence_reelle,affluence_reelle_predite,gaspillage_predit,gaspillage_predit_pourcentage
2011-01-20,12642.0,11947.0,17373.0,0.0,0.0,0.0,0.0,"['Potage tomate / vermicelle', 'cordon bleu de volaille', ""petits pois  à l'anglaise"", 'Camembert', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,2880,5745,702,0.0,0.0,0.0,0.0,Jeudi,3,Janvier,2010-2011,0.0,695.0,5.497547856351843,1,1,0,0.0,0.0,['Potage tomate / vermicelle'],['cordon bleu de volaille'],['petits pois  à langlaise'],['Camembert'],['Banane'],['Tomates'],['Volaille'],['Legumineuse autre'],['Fromage'],['Banane'],0,0,0,0,0,11947.0,11915.439833333332,-31.56016666666801,-0.26486782786128243
2011-01-21,12746.0,12135.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres vgte', 'Poisson', 'beurre blanc', 'riz pilaf', 'Gervais aux fruits']",0.0,0.0,0.0,0.0,0.0,0.0,2880,5745,702,0.0,0.0,0.0,0.0,Vendredi,3,Janvier,2010-2011,0.0,611.0,4.793660756315707,0,0,0,0.0,0.0,['Concombres vgte'],['Poisson'],"['beurre blanc', 'riz pilaf']",['Gervais aux fruits'],,['legumes autres'],['Poissons'],"['Lait', 'Riz']",['Lait'],,0,0,0,0,0,12135.0,12156.003166666664,21.003166666663674,0.17278020068518146
2011-01-24,12271.0,11582.0,17373.0,0.0,0.0,0.0,0.0,"['Potage carottes', 'Poisson meunière', 'Courgettes à la tomate', 'Gouda', 'Ananas']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Lundi,4,Janvier,2010-2011,0.0,689.0,5.614864314236819,0,0,0,0.0,0.0,['Potage carottes'],['Poisson meunière'],['Courgettes à la tomate'],['Gouda'],['Ananas'],['legumes racines'],['Poissons'],['legumes autres'],['Fromage'],['fruits autre'],0,0,0,0,0,11582.0,11133.669166666665,-448.33083333333525,-4.026802185532895
2011-01-25,12585.0,11994.0,17373.0,0.0,0.0,0.0,0.0,"['pamplemousse', 'sauté de veau Marengo', 'Frites', 'Yaourt aromatisé']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Mardi,4,Janvier,2010-2011,0.0,591.0,4.696066746126341,0,1,0,0.0,0.0,['pamplemousse'],['sauté de veau Marengo'],['Frites'],['Yaourt aromatisé'],,['agrumes'],['Veau'],['pomme de terre'],['Lait'],,0,0,0,0,0,11994.0,11885.515500000001,-108.48449999999866,-0.9127454337171884
2011-01-27,12473.0,11863.0,17373.0,0.0,0.0,0.0,0.0,"['salade de pâtes aux tomates confites', 'cuisse de poulet rôti au jus', 'poulet fermier', 'Choux fleurs béchamel agro', 'Tomme blanche', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Jeudi,4,Janvier,2010-2011,0.0,610.0,4.890563617413614,0,1,0,0.0,0.0,['salade de pâtes aux tomates confites'],"['cuisse de poulet rôti au jus', 'poulet fermier']",['Choux fleurs béchamel agro'],['Tomme blanche'],['Pomme'],['legumes autres'],"['Volaille', 'Volaille']",['type chou'],['Fromage'],['fruits autre'],0,0,0,0,0,11863.0,11873.97333333333,10.97333333332972,0.09241500738867857
2011-01-28,12767.0,12029.0,17373.0,0.0,0.0,0.0,0.0,"['salade verte au thon', 'Omelette', 'Riz à la forestière', 'Crème dessert chocolat']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Vendredi,4,Janvier,2010-2011,0.0,738.0,5.78052792355291,0,0,0,0.0,0.0,['salade verte au thon'],['Omelette'],['Riz à la forestière'],,['Crème dessert chocolat'],['legumes autres'],['oeufs'],['Riz'],,['Lait'],0,0,0,0,0,12029.0,12049.698999999999,20.698999999998705,0.1717802245516565
2011-01-31,12185.0,11318.0,17373.0,0.0,0.0,0.0,0.0,"['betteraves cubes', 'lasagnes bolo', 'salade verte', 'Flan caramel']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Lundi,5,Janvier,2010-2011,0.0,867.0,7.1153057037341,0,1,0,0.0,0.0,"['betteraves cubes', 'salade verte']",['lasagnes bolo'],,,['Flan caramel'],"['legumes racines', 'legumes autres']",['Blé Seigle'],,,['Lait'],0,0,0,0,0,11318.0,11077.684166666668,-240.3158333333322,-2.1693688835835845
2011-02-01,12605.0,11727.0,17373.0,0.0,0.0,0.0,0.0,"['Potage légumes', 'Jambon fumé', 'jambon de dinde agro', 'carottes crème', 'Champanet', 'Clémentines']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Mardi,5,Fevrier,2010-2011,0.0,878.0,6.965489884966283,1,1,0,0.0,0.0,"['Potage légumes', 'Jambon fumé', 'jambon de dinde agro']",,['carottes crème'],['Champanet'],['Clémentines'],"['legumes autres', 'Porc', 'Volaille']",,['legumes racines'],['Fromage'],['agrumes'],0,0,0,0,0,11727.0,11799.622666666668,72.62266666666801,0.6154660086870688
2011-02-03,12687.0,11779.0,17373.0,1.1,1.0,0.0,0.0,"['nouvel an chinois', 'salade', ""nem's de volaille"", 'Emincé de dinde au caramel', 'poelée asiatique', 'salade de fruit exotique', 'et litchis']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Jeudi,5,Fevrier,2010-2011,0.0,908.0,7.156932292898242,0,1,0,0.0,0.0,"['nouvel an chinois', 'salade', 'nems de volaille']",['Emincé de dinde au caramel'],['poelée asiatique'],,"['salade de fruit exotique', 'et litchis']","['legumes autres', 'legumes autres', 'Volaille']",['Volaille'],['legumes autres'],,"['fruits autre', 'fruits autre']",0,0,0,0,0,11779.0,11821.389,42.388999999999214,0.3585788438228301
2011-02-04,12744.0,11966.0,17373.0,1.1,1.0,0.0,0.0,"['Choux à la mimolette', 'calamar armoricaine', 'Pommes de terre sautées agro', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Vendredi,5,Fevrier,2010-2011,0.0,778.0,6.1048336472065285,0,0,0,0.0,0.0,['Choux à la mimolette'],['calamar armoricaine'],['Pommes de terre sautées agro'],,['Kiwi'],['type chou'],['Crustacés'],['pomme de terre'],,['fruits autre'],0,0,0,0,0,11966.0,11944.691666666666,-21.308333333334303,-0.17839165654479128
