etablisement;type;latitude;longitude;Elevetotal2324;ElevePresentSeptembreSommeTotal;ElevePresentSeptembreMinimumJour;ElevePresentSeptembreMoyenneJour;ElevePresentSeptembreMaximumJour;ElevePresentSeptembrePourcentageMaxiJour;ElevePresentOctobreSommeTotal;ElevePresentOctobreMinimumJour;ElevePresentOctobreMoyenneJour;ElevePresentOctobreMaximumJour;ElevePresentOctobrePourcentageMaxiJour;ElevePresentNovembreSommeTotal;ElevePresentNovembreMinimumJour;ElevePresentNovembreMoyenneJour;ElevePresentNovembreMaximumJour;ElevePresentNovembrePourcentageMaxiJour;ElevePresentDecembreSommeTotal;ElevePresentDecembreMinimumJour;ElevePresentDecembreMoyenneJour;ElevePresentDecembreMaximumJour;ElevePresentDecembrePourcentageMaxiJour;ElevePresentJanvierSommeTotal;ElevePresentJanvierMinimumJour;ElevePresentJanvierMoyenneJour;ElevePresentJanvierMaximumJour;ElevePresentJanvierPourcentageMaxiJour;ElevePresentFevrierSommeTotal;ElevePresentFevrierMinimumJour;ElevePresentFevrierMoyenneJour;ElevePresentFevrierMaximumJour;ElevePresentFevrierPourcentageMaxiJour;ElevePresentMarsSommeTotal;ElevePresentMarsMinimumJour;ElevePresentMarsMoyenneJour;ElevePresentMarsMaximumJour;ElevePresentMarsPourcentageMaxiJour;ElevePresentAvrilSommeTotal;ElevePresentAvrilMinimumJour;ElevePresentAvrilMoyenneJour;ElevePresentAvrilMaximumJour;ElevePresentAvrilPourcentageMaxiJour;ElevePresentMaiSommeTotal;ElevePresentMaiMinimumJour;ElevePresentMaiMoyenneJour;ElevePresentMaiMaximumJour;ElevePresentMaiPourcentageMaxiJour;ElevePresentJuinSommeTotal;ElevePresentJuinMinimumJour;ElevePresentJuinMoyenneJour;ElevePresentJuinMaximumJour;ElevePresentJuinPourcentageMaxiJour;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27
BUFFLE /AUTRUCHE;Elementaires;48.65594;2.376961;461;2921;142;183;202;43,72;2126;0;177;210;45,55;2970;169;186;196;42,52;2217;155;185;277;60,09;2472;149;177;191;41,43;1065;0;152;196;42,52;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
BELIER / RENNE (DEDALE);Elementaires;48.649956;2.373092;462;2753;134;172;190;41,13;2006;0;167;211;45,67;3029;171;189;207;44,81;2389;154;199;340;73,59;2704;174;193;212;45,89;1452;86;182;208;45,02;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
AIME CESAIRE;Elementaires;48.651733;2.378185;177;792;0;50;60;35,71;636;0;53;66;37,29;917;53;57;62;35,03;766;55;64;90;50,85;853;57;61;69;38,98;507;0;51;67;37,85;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
DULCIE SEPTEMBER;Elementaires;48.65388896813609;2.3836989058496583;185;1853;80;116;130;68,42;1297;0;108;128;69,19;2001;120;125;130;70,27;1455;107;121;148;80;1460;84;112;126;68,11;1077;0;108;128;69,19;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
LUCIE AUBRAC;Elementaires;48.65653856770428;2.389356945253458;178;1155;65;72;80;42,33;891;56;74;89;50;1200;65;75;83;46,63;917;63;76;105;58,99;1000;60;71;80;44,94;664;43;66;80;44,94;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
P LANGEVIN;Elementaires;48.65028762817383;2.3941867351531982;294;1830;96;114;130;44,83;1342;101;112;121;41,16;1841;104;115;126;42,86;1430;109;119;144;48,98;1517;97;108;121;41,16;1170;98;117;131;44,56;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
JEAN MOULIN;Elementaires;48.653825;2.388736;197;1677;91;105;118;65,56;1213;0;101;117;59,39;1792;106;112;122;61,93;1406;105;117;146;74,11;1484;88;106;119;60,41;918;0;92;111;56,35;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
GABRIEL PERI;Elementaires;48.656965;2.385556;173;1694;100;106;119;72,12;1157;0;96;117;67,63;1633;95;102;112;64,74;1263;98;105;119;68,79;1465;99;105;110;63,58;940;0;94;110;63,58;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/
Total Maternelles;;;;1722;10781;0;539;746;42,12;8061;0;403;766;43,25;11630;0;582;757;42,74;9055;0;453;859;48,5;10093;0;505;781;44,1;6680;0;334;788;44,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Elementaires;;;;2568;17900;0;895;1200;46,1;13195;0;660;1253;48,14;18779;0;939;1218;46,79;14381;0;719;1628;62,54;15642;0;782;1201;46,14;9818;0;491;1192;45,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Villes;;;;4290;28681;0;1434;1946;44;21256;0;1063;2019;46;30409;0;1520;1954;45;23436;0;1172;2487;57;25735;0;1287;1982;45;16498;0;825;1959;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
