date,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,menu0,menu1,menu2,menu3,menu4,menu5,menu6,menu7,menu8,menu9,menu10,menu11,menu12,menu13
2011-01-20,12642.0,11947.0,17373.0,0.0,0.0,0.0,0.0,"['Potage tomate / vermicelle', 'cordon bleu de volaille', ""petits pois  à l'anglaise"", 'Camembert', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,2880,5745,702,0.0,0.0,0.0,0.0,Jeudi,3,Janvier,2010-2011,0.0,695.0,5.497547856351843,1,1,0,0.0,0.0,Potage tomate / vermicelle, cordon bleu de volaille, petits pois  à langlaise, Camembert, Banane,,,,,,,,,
2011-01-21,12746.0,12135.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres vgte', 'Poisson', 'beurre blanc', 'riz pilaf', 'Gervais aux fruits']",0.0,0.0,0.0,0.0,0.0,0.0,2880,5745,702,0.0,0.0,0.0,0.0,Vendredi,3,Janvier,2010-2011,0.0,611.0,4.793660756315707,0,0,0,0.0,0.0,Concombres vgte, Poisson, beurre blanc, riz pilaf, Gervais aux fruits,,,,,,,,,
2011-01-24,12271.0,11582.0,17373.0,0.0,0.0,0.0,0.0,"['Potage carottes', 'Poisson meunière', 'Courgettes à la tomate', 'Gouda', 'Ananas']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Lundi,4,Janvier,2010-2011,0.0,689.0,5.614864314236819,0,0,0,0.0,0.0,Potage carottes, Poisson meunière, Courgettes à la tomate, Gouda, Ananas,,,,,,,,,
2011-01-25,12585.0,11994.0,17373.0,0.0,0.0,0.0,0.0,"['pamplemousse', 'sauté de veau Marengo', 'Frites', 'Yaourt aromatisé']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Mardi,4,Janvier,2010-2011,0.0,591.0,4.696066746126341,0,1,0,0.0,0.0,pamplemousse, sauté de veau Marengo, Frites, Yaourt aromatisé,,,,,,,,,,
2011-01-27,12473.0,11863.0,17373.0,0.0,0.0,0.0,0.0,"['salade de pâtes aux tomates confites', 'cuisse de poulet rôti au jus', 'poulet fermier', 'Choux fleurs béchamel agro', 'Tomme blanche', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Jeudi,4,Janvier,2010-2011,0.0,610.0,4.890563617413614,0,1,0,0.0,0.0,salade de pâtes aux tomates confites, cuisse de poulet rôti au jus, poulet fermier, Choux fleurs béchamel agro, Tomme blanche, Pomme,,,,,,,,
2011-01-28,12767.0,12029.0,17373.0,0.0,0.0,0.0,0.0,"['salade verte au thon', 'Omelette', 'Riz à la forestière', 'Crème dessert chocolat']",0.0,0.0,0.0,0.0,0.0,0.0,9182,5718,415,0.0,0.0,0.0,0.0,Vendredi,4,Janvier,2010-2011,0.0,738.0,5.78052792355291,0,0,0,0.0,0.0,salade verte au thon, Omelette, Riz à la forestière, Crème dessert chocolat,,,,,,,,,,
2011-01-31,12185.0,11318.0,17373.0,0.0,0.0,0.0,0.0,"['betteraves cubes', 'lasagnes bolo', 'salade verte', 'Flan caramel']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Lundi,5,Janvier,2010-2011,0.0,867.0,7.1153057037341,0,1,0,0.0,0.0,betteraves cubes, lasagnes bolo, salade verte, Flan caramel,,,,,,,,,,
2011-02-01,12605.0,11727.0,17373.0,0.0,0.0,0.0,0.0,"['Potage légumes', 'Jambon fumé', 'jambon de dinde agro', 'carottes crème', 'Champanet', 'Clémentines']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Mardi,5,Fevrier,2010-2011,0.0,878.0,6.965489884966283,1,1,0,0.0,0.0,Potage légumes, Jambon fumé, jambon de dinde agro, carottes crème, Champanet, Clémentines,,,,,,,,
2011-02-03,12687.0,11779.0,17373.0,1.1,1.0,0.0,0.0,"['nouvel an chinois', 'salade', ""nem's de volaille"", 'Emincé de dinde au caramel', 'poelée asiatique', 'salade de fruit exotique', 'et litchis']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Jeudi,5,Fevrier,2010-2011,0.0,908.0,7.156932292898242,0,1,0,0.0,0.0,nouvel an chinois, salade, nems de volaille, Emincé de dinde au caramel, poelée asiatique, salade de fruit exotique, et litchis,,,,,,,
2011-02-04,12744.0,11966.0,17373.0,1.1,1.0,0.0,0.0,"['Choux à la mimolette', 'calamar armoricaine', 'Pommes de terre sautées agro', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Vendredi,5,Fevrier,2010-2011,0.0,778.0,6.1048336472065285,0,0,0,0.0,0.0,Choux à la mimolette, calamar armoricaine, Pommes de terre sautées agro, Kiwi,,,,,,,,,,
2011-02-07,12268.0,11447.0,17373.0,0.0,0.0,0.0,0.0,"['Tarte au fromage', 'poulet confit', 'Haricots verts', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Lundi,6,Fevrier,2010-2011,0.0,821.0,6.692207368764265,0,1,0,0.0,0.0,Tarte au fromage, poulet confit, Haricots verts, Pomme,,,,,,,,,,
2011-02-08,12515.0,11945.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres vgte', 'Toulouse grillée', 'saucisse de volaille', 'haricots blanc à la tomate', 'blanc à la neige', 'crème anglaise']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Mardi,6,Fevrier,2010-2011,0.0,570.0,4.554534558529764,1,1,0,0.0,0.0,Concombres vgte, Toulouse grillée, saucisse de volaille, haricots blanc à la tomate, blanc à la neige, crème anglaise,,,,,,,,
2011-02-10,9750.0,6991.0,17373.0,6.8,4.0,0.0,0.0,"['Carottes râpées', 'Coecur de boeuf à la dijonnaise', 'Pomme noisettes', 'Suisses aro']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Jeudi,6,Fevrier,2010-2011,0.0,2759.0,28.297435897435896,0,1,0,0.0,0.0,Carottes râpées, Coecur de boeuf à la dijonnaise, Pomme noisettes, Suisses aro,,,,,,,,,,
2011-02-11,12842.0,12225.0,17373.0,6.8,4.0,0.0,0.0,"['salade de pomme de terre', 'tomate / concombre', 'poisson meunière', 'Brocolis beurre Provençal', 'St Bricet', 'Mirabelles au sirop']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Vendredi,6,Fevrier,2010-2011,0.0,617.0,4.804547578258839,0,0,0,0.0,0.0,salade de pomme de terre, tomate / concombre, poisson meunière, Brocolis beurre Provençal, St Bricet, Mirabelles au sirop,,,,,,,,
2011-02-14,12211.0,11617.0,17373.0,0.0,0.0,0.0,0.0,"['Salade coleslaw', 'Blanquette de veau', 'pomme vapeur', 'Yaourt aromatisé']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Lundi,7,Fevrier,2010-2011,0.0,594.0,4.864466464663009,0,1,0,0.0,0.0,Salade coleslaw, Blanquette de veau, pomme vapeur, Yaourt aromatisé,,,,,,,,,,
2011-02-15,12503.0,11979.0,17373.0,0.0,0.0,0.0,0.0,"['salade de mâche à la mimolette', 'rôti de porc et  dinde', 'Petits pois', 'crêpes', 'confiture']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,1.0,0.0,0.0,0.0,Mardi,7,Fevrier,2010-2011,0.0,524.0,4.190994161401264,1,1,0,0.0,0.0,salade de mâche à la mimolette, rôti de porc et  dinde, Petits pois, crêpes, confiture,,,,,,,,,
2011-02-17,12583.0,11963.0,17373.0,0.0,0.0,0.0,0.0,"['Potage tomate/vermicelle', 'cordon bleu de volaille', 'Haricots beurre et plats', 'st paulin', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Jeudi,7,Fevrier,2010-2011,0.0,620.0,4.927282841929587,1,1,0,0.0,0.0,Potage tomate/vermicelle, cordon bleu de volaille, Haricots beurre et plats, st paulin, Banane,,,,,,,,,
2011-02-18,12783.0,12271.0,17373.0,0.0,0.0,0.0,0.0,"['Salade de lentilles', 'Lentilles, tomates, maïs', 'filet de lieu  au beurre blanc', 'Carottes', 'Crème de gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Vendredi,7,Fevrier,2010-2011,0.0,512.0,4.005319565047328,0,0,0,0.0,0.0,Salade de lentilles, Lentilles, tomates, maïs, filet de lieu  au beurre blanc, Carottes, Crème de gruyère, Kiwi,,,,,,
2011-02-21,11990.0,11500.0,17373.0,0.0,0.0,0.0,0.0,"['Endives aux pommes', 'sauté de boeuf AUX POIVRES', 'Pâtes', 'Liégeois']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Lundi,8,Fevrier,2010-2011,0.0,490.0,4.08673894912427,0,1,0,0.0,0.0,Endives aux pommes, sauté de boeuf AUX POIVRES, Pâtes, Liégeois,,,,,,,,,,
2011-02-22,12604.0,12199.0,17373.0,0.0,0.0,0.0,0.0,"['taboulé', 'poisson pané/citron', 'choux fleurs agro', 'Tomme bio', 'Clémentines']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Mardi,8,Fevrier,2010-2011,0.0,405.0,3.213265629958743,0,0,0,0.0,0.0,taboulé, poisson pané/citron, choux fleurs agro, Tomme bio, Clémentines,,,,,,,,,
2011-02-24,10625.0,11916.0,17373.0,0.0,0.0,0.0,0.0,"['Rillettes de thon', 'tartiflette de canard', 'salade verte', 'Crème vanille']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Jeudi,8,Fevrier,2010-2011,0.0,-1291.0,-12.150588235294116,1,1,0,0.0,0.0,Rillettes de thon, tartiflette de canard, salade verte, Crème vanille,,,,,,,,,,
2011-02-25,12592.0,12004.0,17373.0,0.0,0.0,0.0,0.0,"['REPAS POUR LA PLANETE', 'Crème de lentilles au cumin', 'Quinoa aux petits légumes', 'yaourt bio', 'abricots sec']",0.0,0.0,0.0,0.0,0.0,1.0,373,3238,107,0.0,0.0,0.0,0.0,Vendredi,8,Fevrier,2010-2011,0.0,588.0,4.669631512071156,0,0,0,0.0,0.0,REPAS POUR LA PLANETE, Crème de lentilles au cumin, Quinoa aux petits légumes, yaourt bio, abricots sec,,,,,,,,,
2011-03-14,12226.0,11715.0,17373.0,0.0,0.0,0.0,0.0,"['galantine de volaille / cornichons', 'lasagne de boeuf', 'Mâche', 'Crème anglaise']",0.0,0.0,0.0,0.0,1.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Lundi,11,Mars,2010-2011,0.0,511.0,4.179617209226239,0,1,0,0.0,0.0,galantine de volaille / cornichons, lasagne de boeuf, Mâche, Crème anglaise,,,,,,,,,,
2011-03-15,12497.0,12110.0,17373.0,0.0,0.0,0.0,0.0,"['Choux blancs bio à la mimolette', 'Jambon fumé', 'jambon de dinde', 'Marmelade de pommes', 'Gâteau au yaourt', 'Lait fermier']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Mardi,11,Mars,2010-2011,0.0,387.0,3.096743218372409,1,1,0,0.0,0.0,Choux blancs bio à la mimolette, Jambon fumé, jambon de dinde, Marmelade de pommes, Gâteau au yaourt, Lait fermier,,,,,,,,
2011-03-17,12521.0,12293.0,17373.0,0.0,0.0,0.0,0.0,"['salade de lentilles', 'maïs, tomate1/8', 'Emincé de dinde Niçois', 'Carottes', 'Tomme bio', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Jeudi,11,Mars,2010-2011,0.0,228.0,1.8209408194233687,0,1,0,0.0,0.0,salade de lentilles, maïs, tomate1/8, Emincé de dinde Niçois, Carottes, Tomme bio, Banane,,,,,,,
2011-03-18,12857.0,12685.0,17373.0,0.0,0.0,0.0,0.0,"['radis / beurre', 'Parmentier de poisson maison', 'Salade verte', 'Mousse chocolat']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Vendredi,11,Mars,2010-2011,0.0,172.0,1.3377926421404682,0,0,1,0.0,0.0,radis / beurre, Parmentier de poisson maison, Salade verte, Mousse chocolat,,,,,,,,,,
2011-03-21,12222.0,11883.0,17373.0,0.0,0.0,0.0,0.0,"['MANGER BOUGER', 'Mâche aux noix', 'Haché de poulet', 'gratin de pâtes/rape', 'Yaourt bio', 'Abricots secs']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Lundi,12,Mars,2010-2011,0.0,339.0,2.773686794305351,0,1,0,0.0,0.0,MANGER BOUGER, Mâche aux noix, Haché de poulet, gratin de pâtes/rape, Yaourt bio, Abricots secs,,,,,,,,
2011-03-22,12453.0,12278.0,17373.0,0.0,0.0,0.0,0.0,"['salade pomme de terre', 'et filet de sardine', 'rôti de boeuf', 'Ketchup', 'Haricots verts', 'Crème de gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Mardi,12,Mars,2010-2011,0.0,175.0,1.405283867341203,0,1,0,0.0,0.0,salade pomme de terre, et filet de sardine, rôti de boeuf, Ketchup, Haricots verts, Crème de gruyère, Kiwi,,,,,,,
2011-03-24,12623.0,12557.0,17373.0,0.0,0.0,0.0,0.0,"['Bâtonnets de carottes', 'et sauce crème', 'Omelette', 'riz / ratatouille', 'Chèvre', 'Pomme cuite à la framboise']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Jeudi,12,Mars,2010-2011,0.0,66.0,0.5228551057593283,0,0,0,0.0,0.0,Bâtonnets de carottes, et sauce crème, Omelette, riz / ratatouille, Chèvre, Pomme cuite à la framboise,,,,,,,,
2011-03-25,12795.0,12511.0,17373.0,0.0,0.0,0.0,0.0,"['Betteraves / maïs', 'Duo de poisson cube', 'sauce crustacés', 'Palet brocolis / carottes', 'Camembert', 'Ananas']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,1.0,0.0,Vendredi,12,Mars,2010-2011,0.0,284.0,2.219617037905432,0,0,0,0.0,0.0,Betteraves / maïs, Duo de poisson cube, sauce crustacés, Palet brocolis / carottes, Camembert, Ananas,,,,,,,,
2011-03-28,12264.0,11469.0,17373.0,0.0,0.0,1.0,0.0,"['Rillettes de thon/citron', 'Parmentier de boeuf', 'salade verte', 'Fromage blanc']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Lundi,13,Mars,2010-2011,0.0,795.0,6.48238747553816,0,1,0,0.0,0.0,Rillettes de thon/citron, Parmentier de boeuf, salade verte, Fromage blanc,,,,,,,,,,
2011-03-29,12640.0,12187.0,17373.0,0.0,0.0,0.0,0.0,"['Tarte au fromage', 'Poulet rôti au jus', 'Choux fleurs béchamel agro', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Mardi,13,Mars,2010-2011,0.0,453.0,3.5838607594936707,0,1,0,0.0,0.0,Tarte au fromage, Poulet rôti au jus, Choux fleurs béchamel agro, Pomme,,,,,,,,,,
2011-03-31,12650.0,12349.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres', 'Sauté de porc au curry', 'sauté de dinde au curry', 'Batonnière de légumes', 'Eclair chocolat', 'lait fermier']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Jeudi,13,Mars,2010-2011,0.0,301.0,2.3794466403162056,1,1,0,0.0,0.0,Concombres, Sauté de porc au curry, sauté de dinde au curry, Batonnière de légumes, Eclair chocolat, lait fermier,,,,,,,,
2011-04-01,12727.0,12467.0,17373.0,0.0,0.0,0.0,0.0,"['carottes râpées', 'filet de lieu sauce marmite du perray', 'RIZ', 'Gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Vendredi,13,Avril,2010-2011,0.0,260.0,2.042900919305413,0,0,0,0.0,0.0,carottes râpées, filet de lieu sauce marmite du perray, RIZ, Gruyère, Kiwi,,,,,,,,,
2011-04-04,12233.0,11679.0,17373.0,0.0,0.0,0.0,0.0,"['radis / beurre', 'Coecur de boeuf sauce dijonnaise', 'purée de p de terre', 'Yaourt aro']",0.0,0.0,0.0,0.0,0.0,0.0,267,933,62,0.0,0.0,0.0,0.0,Lundi,14,Avril,2010-2011,0.0,554.0,4.528733752963296,0,1,0,0.0,0.0,radis / beurre, Coecur de boeuf sauce dijonnaise, purée de p de terre, Yaourt aro,,,,,,,,,,
2011-04-05,12546.0,12280.0,17373.0,0.0,0.0,0.0,0.0,"['Salade au surimi', 'cuisse de poulet confit', 'Petits pois', 'St Bricet', 'riz au lait maison']",0.0,0.0,0.0,0.0,0.0,0.0,267,933,62,0.0,0.0,0.0,0.0,Mardi,14,Avril,2010-2011,0.0,266.0,2.1201976725649607,0,1,0,0.0,0.0,Salade au surimi, cuisse de poulet confit, Petits pois, St Bricet, riz au lait maison,,,,,,,,,
2011-04-07,12419.0,11997.0,17373.0,0.0,0.0,0.0,0.0,"['Choux rouges bio au gruyère', 'Couscous boulettes de boeuf', 'semoule', 'legumes', 'banane']",0.0,0.0,0.0,0.0,0.0,0.0,267,933,62,0.0,0.0,1.0,0.0,Jeudi,14,Avril,2010-2011,0.0,422.0,3.398019164183912,0,1,0,0.0,0.0,Choux rouges bio au gruyère, Couscous boulettes de boeuf, semoule, legumes, banane,,,,,,,,,
2011-04-08,12706.0,12232.0,17373.0,0.0,0.0,0.0,0.0,"['blé maïs tomate', 'filet de poisson meunière', 'Brocolis', 'Gouda', 'Ananas']",0.0,0.0,0.0,0.0,0.0,0.0,267,933,62,0.0,0.0,0.0,0.0,Vendredi,14,Avril,2010-2011,0.0,474.0,3.7305210136943177,0,0,0,0.0,0.0,blé maïs tomate, filet de poisson meunière, Brocolis, Gouda, Ananas,,,,,,,,,
2011-04-11,12383.0,11819.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres', 'Cordon bleu', 'Choux fleurs agro', 'Port salut', 'compote', 'Biscuit du Blavet sans DLUO']",0.0,0.0,0.0,0.0,0.0,0.0,0,1686,0,0.0,0.0,0.0,0.0,Lundi,15,Avril,2010-2011,0.0,564.0,4.554631349430671,1,1,0,0.0,0.0,Concombres, Cordon bleu, Choux fleurs agro, Port salut, compote, Biscuit du Blavet sans DLUO,,,,,,,,
2011-04-12,12649.0,12334.0,17373.0,39.7,3.0,0.0,0.0,"['Crêpe au fromage', 'Sauté de veau Marengo', 'Haricots verts', 'Chèvre', 'Orange']",0.0,0.0,0.0,0.0,0.0,0.0,0,1686,0,0.0,0.0,0.0,0.0,Mardi,15,Avril,2010-2011,0.0,315.0,2.490315439955728,0,1,0,0.0,0.0,Crêpe au fromage, Sauté de veau Marengo, Haricots verts, Chèvre, Orange,,,,,,,,,
2011-04-14,12951.0,12242.0,17373.0,0.0,0.0,0.0,0.0,"['Mâche demi-oeuf', 'dinde', 'Rôti de porc au jus', 'haricots blanc à la tomate', 'Tomme bio', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,0,1686,0,0.0,0.0,0.0,0.0,Jeudi,15,Avril,2010-2011,0.0,709.0,5.474480735078372,1,1,0,0.0,0.0,Mâche demi-oeuf, dinde, Rôti de porc au jus, haricots blanc à la tomate, Tomme bio, Kiwi,,,,,,,,
2011-04-15,12975.0,12565.0,17373.0,0.0,0.0,0.0,0.0,"['Gaspacho', 'fiet de lieu sauce Normande', 'pomme de terre rissolée', 'yaourt brassé bio']",0.0,0.0,0.0,0.0,0.0,0.0,0,1686,0,0.0,0.0,0.0,0.0,Vendredi,15,Avril,2010-2011,0.0,410.0,3.159922928709056,0,0,0,0.0,0.0,Gaspacho, fiet de lieu sauce Normande, pomme de terre rissolée, yaourt brassé bio,,,,,,,,,,
2011-04-18,12451.0,11699.0,17373.0,0.0,0.0,0.0,0.0,"['salade verte aux dés de gruyère', 'Choucroute Collet ( saucisse)', 'Choucroute de dinde ( saucisse)', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,148,1563,495,0.0,0.0,0.0,0.0,Lundi,16,Avril,2010-2011,0.0,752.0,6.039675528070035,1,1,0,0.0,0.0,salade verte aux dés de gruyère, Choucroute Collet ( saucisse), Choucroute de dinde ( saucisse), Pomme,,,,,,,,,,
2011-04-19,12821.0,12543.0,17373.0,0.0,0.0,0.0,0.0,"['Bettraves râpées ""maison""', 'Omelette', 'ratatouille maison', 'Edam', 'semoule au lait maison']",0.0,0.0,0.0,0.0,0.0,0.0,148,1563,495,0.0,0.0,0.0,1.0,Mardi,16,Avril,2010-2011,0.0,278.0,2.1683176039310506,0,0,0,0.0,0.0,Bettraves râpées maison, Omelette, ratatouille maison, Edam, semoule au lait maison,,,,,,,,,
2011-04-21,12885.0,12320.0,17373.0,0.0,0.0,0.0,0.0,"['salade de tomatesmaison', 'steak haché', 'Frites', 'Suisses aro']",0.0,0.0,0.0,0.0,0.0,0.0,148,1563,495,0.0,0.0,0.0,0.0,Jeudi,16,Avril,2010-2011,0.0,565.0,4.384943733022895,0,1,0,0.0,0.0,salade de tomatesmaison, steak haché, Frites, Suisses aro,,,,,,,,,,
2011-04-22,13006.0,12249.0,17373.0,0.0,0.0,0.0,0.0,"['salade des Iles (Carottes, surimi, ananas)', 'poisson sauce  des caraïbes', 'Riz antillais', 'Chèvretine', 'Flan noix de coco', 'Menu des Caraïbes']",0.0,0.0,0.0,0.0,0.0,1.0,148,1563,495,0.0,0.0,1.0,0.0,Vendredi,16,Avril,2010-2011,0.0,757.0,5.820390588958942,0,0,0,0.0,0.0,salade des Iles (Carottes, surimi, ananas), poisson sauce  des caraïbes, Riz antillais, Chèvretine, Flan noix de coco, Menu des Caraïbes,,,,,,
