date,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,Entrée,Plat,Accompagnement,Fromage,Dessert,Entrée Food Type,Plat Food Type,Accompagnement Food Type,Fromage Food Type,Dessert Food Type,Entrée_Bio,Plat_Bio,Accompagnement_Bio,Fromage_Bio,Dessert_Bio
2011-02-03,12687.0,11779.0,17373.0,1.1,1.0,0.0,0.0,"['nouvel an chinois', 'salade', ""nem's de volaille"", 'Emincé de dinde au caramel', 'poelée asiatique', 'salade de fruit exotique', 'et litchis']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Jeudi,5,Fevrier,2010-2011,0.0,908.0,7.156932292898242,0,1,0,0.0,0.0,"['nouvel an chinois', 'salade', 'nems de volaille']",['Emincé de dinde au caramel'],['poelée asiatique'],,"['salade de fruit exotique', 'et litchis']","['legumes autres', 'legumes autres', 'Volaille']",['Volaille'],['legumes autres'],,"['fruits autre', 'fruits autre']",0,0,0,0,0
2011-02-04,12744.0,11966.0,17373.0,1.1,1.0,0.0,0.0,"['Choux à la mimolette', 'calamar armoricaine', 'Pommes de terre sautées agro', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,7451,5713,317,0.0,0.0,0.0,0.0,Vendredi,5,Fevrier,2010-2011,0.0,778.0,6.1048336472065285,0,0,0,0.0,0.0,['Choux à la mimolette'],['calamar armoricaine'],['Pommes de terre sautées agro'],,['Kiwi'],['type chou'],['Crustacés'],['pomme de terre'],,['fruits autre'],0,0,0,0,0
2011-02-07,12268.0,11447.0,17373.0,0.0,0.0,0.0,0.0,"['Tarte au fromage', 'poulet confit', 'Haricots verts', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Lundi,6,Fevrier,2010-2011,0.0,821.0,6.692207368764265,0,1,0,0.0,0.0,,"['Tarte au fromage', 'poulet confit']",['Haricots verts'],,['Pomme'],,"['Fromage', 'Volaille']",['legumes autres'],,['fruits autre'],0,0,0,0,0
2011-02-08,12515.0,11945.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres vgte', 'Toulouse grillée', 'saucisse de volaille', 'haricots blanc à la tomate', 'blanc à la neige', 'crème anglaise']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Mardi,6,Fevrier,2010-2011,0.0,570.0,4.554534558529764,1,1,0,0.0,0.0,['Concombres vgte'],"['Toulouse grillée', 'saucisse de volaille']","['haricots blanc à la tomate', 'blanc à la neige']",,['crème anglaise'],['legumes autres'],"['Saucisse', 'Volaille']","['Legumineuse autre', 'Legumineuse autre']",,['Lait'],0,0,0,0,0
2011-02-10,9750.0,6991.0,17373.0,6.8,4.0,0.0,0.0,"['Carottes râpées', 'Coecur de boeuf à la dijonnaise', 'Pomme noisettes', 'Suisses aro']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Jeudi,6,Fevrier,2010-2011,0.0,2759.0,28.297435897435896,0,1,0,0.0,0.0,['Carottes râpées'],['Coecur de boeuf à la dijonnaise'],,['Suisses aro'],['Pomme noisettes'],['legumes racines'],['Boeuf'],,['Fromage'],['fruits autre'],0,0,0,0,0
2011-02-11,12842.0,12225.0,17373.0,6.8,4.0,0.0,0.0,"['salade de pomme de terre', 'tomate / concombre', 'poisson meunière', 'Brocolis beurre Provençal', 'St Bricet', 'Mirabelles au sirop']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Vendredi,6,Fevrier,2010-2011,0.0,617.0,4.804547578258839,0,0,0,0.0,0.0,"['salade de pomme de terre', 'tomate / concombre']",['poisson meunière'],['Brocolis beurre Provençal'],['St Bricet'],['Mirabelles au sirop'],"['pomme de terre', 'legumes autres']",['Poissons'],['type chou'],['Fromage'],['Bais et Raisins'],0,0,0,0,0
2011-02-14,12211.0,11617.0,17373.0,0.0,0.0,0.0,0.0,"['Salade coleslaw', 'Blanquette de veau', 'pomme vapeur', 'Yaourt aromatisé']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Lundi,7,Fevrier,2010-2011,0.0,594.0,4.864466464663009,0,1,0,0.0,0.0,['Salade coleslaw'],['Blanquette de veau'],,['Yaourt aromatisé'],['pomme vapeur'],['legumes autres'],['Veau'],,['Lait'],['fruits autre'],0,0,0,0,0
2011-02-15,12503.0,11979.0,17373.0,0.0,0.0,0.0,0.0,"['salade de mâche à la mimolette', 'rôti de porc et  dinde', 'Petits pois', 'crêpes', 'confiture']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,1.0,0.0,0.0,0.0,Mardi,7,Fevrier,2010-2011,0.0,524.0,4.190994161401264,1,1,0,0.0,0.0,['salade de mâche à la mimolette'],"['rôti de porc et  dinde', 'crêpes']",['Petits pois'],,['confiture'],['legumes autres'],"['Porc', 'Blé Seigle']",['Legumineuse autre'],,['fruits autre'],0,0,0,0,0
2011-02-17,12583.0,11963.0,17373.0,0.0,0.0,0.0,0.0,"['Potage tomate/vermicelle', 'cordon bleu de volaille', 'Haricots beurre et plats', 'st paulin', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Jeudi,7,Fevrier,2010-2011,0.0,620.0,4.927282841929587,1,1,0,0.0,0.0,['Potage tomate/vermicelle'],['cordon bleu de volaille'],['Haricots beurre et plats'],['st paulin'],['Banane'],['Tomates'],['Volaille'],['Legumineuse autre'],['Fromage'],['Banane'],0,0,0,0,0
2011-02-18,12783.0,12271.0,17373.0,0.0,0.0,0.0,0.0,"['Salade de lentilles', 'Lentilles, tomates, maïs', 'filet de lieu  au beurre blanc', 'Carottes', 'Crème de gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Vendredi,7,Fevrier,2010-2011,0.0,512.0,4.005319565047328,0,0,0,0.0,0.0,"['Salade de lentilles', 'tomates']","['filet de lieu  au beurre blanc', 'Crème de gruyère']","['Lentilles', 'maïs', 'Carottes']",,['Kiwi'],"['Legumineuse autre', 'Tomates']","['Poissons', 'Fromage']","['Legumineuse autre', 'Mais', 'legumes racines']",,['fruits autre'],0,0,0,0,0
2011-02-21,11990.0,11500.0,17373.0,0.0,0.0,0.0,0.0,"['Endives aux pommes', 'sauté de boeuf AUX POIVRES', 'Pâtes', 'Liégeois']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Lundi,8,Fevrier,2010-2011,0.0,490.0,4.08673894912427,0,1,0,0.0,0.0,['Endives aux pommes'],['sauté de boeuf AUX POIVRES'],['Pâtes'],,['Liégeois'],['legumes autres'],['Boeuf'],['Blé Seigle'],,['Lait'],0,0,0,0,0
2011-02-22,12604.0,12199.0,17373.0,0.0,0.0,0.0,0.0,"['taboulé', 'poisson pané/citron', 'choux fleurs agro', 'Tomme bio', 'Clémentines']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Mardi,8,Fevrier,2010-2011,0.0,405.0,3.213265629958743,0,0,0,0.0,0.0,['taboulé'],['poisson pané/citron'],['choux fleurs agro'],['Tomme bio'],['Clémentines'],['legumes autres'],['Poissons'],['type chou'],['Fromage'],['agrumes'],0,0,0,1,0
2011-02-24,10625.0,11916.0,17373.0,0.0,0.0,0.0,0.0,"['Rillettes de thon', 'tartiflette de canard', 'salade verte', 'Crème vanille']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Jeudi,8,Fevrier,2010-2011,0.0,-1291.0,-12.150588235294116,1,1,0,0.0,0.0,"['Rillettes de thon', 'salade verte']",['tartiflette de canard'],,,['Crème vanille'],"['Poissons', 'legumes autres']",['pomme de terre'],,,['Lait'],0,0,0,0,0
2011-02-25,12592.0,12004.0,17373.0,0.0,0.0,0.0,0.0,"['REPAS POUR LA PLANETE', 'Crème de lentilles au cumin', 'Quinoa aux petits légumes', 'yaourt bio', 'abricots sec']",0.0,0.0,0.0,0.0,0.0,1.0,373,3238,107,0.0,0.0,0.0,0.0,Vendredi,8,Fevrier,2010-2011,0.0,588.0,4.669631512071156,0,0,0,0.0,0.0,['REPAS POUR LA PLANETE'],['Crème de lentilles au cumin'],['Quinoa aux petits légumes'],['yaourt bio'],['abricots sec'],['legumes autres'],['Legumineuse autre'],['Legumineuse autre'],['Lait'],['Bais et Raisins'],0,0,0,1,0
2011-03-14,12226.0,11715.0,17373.0,0.0,0.0,0.0,0.0,"['galantine de volaille / cornichons', 'lasagne de boeuf', 'Mâche', 'Crème anglaise']",0.0,0.0,0.0,0.0,1.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Lundi,11,Mars,2010-2011,0.0,511.0,4.179617209226239,0,1,0,0.0,0.0,"['galantine de volaille / cornichons', 'Mâche']",['lasagne de boeuf'],,,['Crème anglaise'],"['Volaille', 'legumes autres']",['Blé Seigle'],,,['Lait'],0,0,0,0,0
2011-03-15,12497.0,12110.0,17373.0,0.0,0.0,0.0,0.0,"['Choux blancs bio à la mimolette', 'Jambon fumé', 'jambon de dinde', 'Marmelade de pommes', 'Gâteau au yaourt', 'Lait fermier']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Mardi,11,Mars,2010-2011,0.0,387.0,3.096743218372409,1,1,0,0.0,0.0,"['Choux blancs bio à la mimolette', 'Jambon fumé', 'jambon de dinde']",,,['Lait fermier'],"['Marmelade de pommes', 'Gâteau au yaourt']","['type chou', 'Porc', 'Volaille']",,,['Lait'],"['fruits autre', 'Lait']",1,0,0,0,0
2011-03-17,12521.0,12293.0,17373.0,0.0,0.0,0.0,0.0,"['salade de lentilles', 'maïs, tomate1/8', 'Emincé de dinde Niçois', 'Carottes', 'Tomme bio', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Jeudi,11,Mars,2010-2011,0.0,228.0,1.8209408194233687,0,1,0,0.0,0.0,"['salade de lentilles', 'tomate1/8']",['Emincé de dinde Niçois'],"['maïs', 'Carottes']",['Tomme bio'],['Banane'],"['Legumineuse autre', 'Tomates']",['Volaille'],"['Mais', 'legumes racines']",['Fromage'],['Banane'],0,0,0,1,0
2011-03-18,12857.0,12685.0,17373.0,0.0,0.0,0.0,0.0,"['radis / beurre', 'Parmentier de poisson maison', 'Salade verte', 'Mousse chocolat']",0.0,0.0,0.0,0.0,0.0,0.0,479,3713,0,0.0,0.0,0.0,0.0,Vendredi,11,Mars,2010-2011,0.0,172.0,1.3377926421404682,0,0,1,0.0,0.0,"['radis / beurre', 'Salade verte']",['Parmentier de poisson maison'],,,['Mousse chocolat'],"['legumes racines', 'legumes autres']",['pomme de terre'],,,['Lait'],0,0,0,0,0
2011-03-21,12222.0,11883.0,17373.0,0.0,0.0,0.0,0.0,"['MANGER BOUGER', 'Mâche aux noix', 'Haché de poulet', 'gratin de pâtes/rape', 'Yaourt bio', 'Abricots secs']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Lundi,12,Mars,2010-2011,0.0,339.0,2.773686794305351,0,1,0,0.0,0.0,"['MANGER BOUGER', 'Mâche aux noix']","['Haché de poulet', 'gratin de pâtes/rape']",,['Yaourt bio'],['Abricots secs'],"['legumes autres', 'legumes autres']","['Volaille', 'Blé Seigle']",,['Lait'],['Bais et Raisins'],0,0,0,1,0
2011-03-22,12453.0,12278.0,17373.0,0.0,0.0,0.0,0.0,"['salade pomme de terre', 'et filet de sardine', 'rôti de boeuf', 'Ketchup', 'Haricots verts', 'Crème de gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Mardi,12,Mars,2010-2011,0.0,175.0,1.405283867341203,0,1,0,0.0,0.0,"['salade pomme de terre', 'et filet de sardine']","['rôti de boeuf', 'Crème de gruyère']","['Ketchup', 'Haricots verts']",,['Kiwi'],"['pomme de terre', 'Poissons']","['Boeuf', 'Fromage']","['Tomates', 'legumes autres']",,['fruits autre'],0,0,0,0,0
2011-03-24,12623.0,12557.0,17373.0,0.0,0.0,0.0,0.0,"['Bâtonnets de carottes', 'et sauce crème', 'Omelette', 'riz / ratatouille', 'Chèvre', 'Pomme cuite à la framboise']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,0.0,0.0,Jeudi,12,Mars,2010-2011,0.0,66.0,0.5228551057593283,0,0,0,0.0,0.0,"['Bâtonnets de carottes', 'Chèvre']","['Omelette', 'riz / ratatouille']",['et sauce crème'],,['Pomme cuite à la framboise'],"['legumes racines', 'Fromage']","['oeufs', 'Riz']",['Lait'],,['fruits autre'],0,0,0,0,0
2011-03-25,12795.0,12511.0,17373.0,0.0,0.0,0.0,0.0,"['Betteraves / maïs', 'Duo de poisson cube', 'sauce crustacés', 'Palet brocolis / carottes', 'Camembert', 'Ananas']",0.0,0.0,0.0,0.0,0.0,0.0,142,2843,0,0.0,0.0,1.0,0.0,Vendredi,12,Mars,2010-2011,0.0,284.0,2.219617037905432,0,0,0,0.0,0.0,['Betteraves / maïs'],"['Duo de poisson cube', 'Palet brocolis / carottes']",['sauce crustacés'],['Camembert'],['Ananas'],['legumes autres'],"['Poissons', 'legumes autres']",['Crustacés'],['Fromage'],['fruits autre'],0,0,0,0,0
2011-03-28,12264.0,11469.0,17373.0,0.0,0.0,1.0,0.0,"['Rillettes de thon/citron', 'Parmentier de boeuf', 'salade verte', 'Fromage blanc']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Lundi,13,Mars,2010-2011,0.0,795.0,6.48238747553816,0,1,0,0.0,0.0,"['Rillettes de thon/citron', 'salade verte']",['Parmentier de boeuf'],,['Fromage blanc'],,"['Poissons', 'legumes autres']",['Boeuf'],,['Lait'],,0,0,0,0,0
2011-03-29,12640.0,12187.0,17373.0,0.0,0.0,0.0,0.0,"['Tarte au fromage', 'Poulet rôti au jus', 'Choux fleurs béchamel agro', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Mardi,13,Mars,2010-2011,0.0,453.0,3.5838607594936707,0,1,0,0.0,0.0,,"['Tarte au fromage', 'Poulet rôti au jus']",['Choux fleurs béchamel agro'],,['Pomme'],,"['Fromage', 'Volaille']",['type chou'],,['fruits autre'],0,0,0,0,0
2011-03-31,12650.0,12349.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres', 'Sauté de porc au curry', 'sauté de dinde au curry', 'Batonnière de légumes', 'Eclair chocolat', 'lait fermier']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Jeudi,13,Mars,2010-2011,0.0,301.0,2.3794466403162056,1,1,0,0.0,0.0,['Concombres'],"['Sauté de porc au curry', 'sauté de dinde au curry']",['Batonnière de légumes'],['lait fermier'],['Eclair chocolat'],['legumes autres'],"['Porc', 'Volaille']",['legumes autres'],['Lait'],['Sucre blanc'],0,0,0,0,0
2011-04-01,12727.0,12467.0,17373.0,0.0,0.0,0.0,0.0,"['carottes râpées', 'filet de lieu sauce marmite du perray', 'RIZ', 'Gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,44,1479,249,0.0,0.0,0.0,0.0,Vendredi,13,Avril,2010-2011,0.0,260.0,2.042900919305413,0,0,0,0.0,0.0,['carottes râpées'],['filet de lieu sauce marmite du perray'],['RIZ'],['Gruyère'],['Kiwi'],['legumes racines'],['Poissons'],['Riz'],['Fromage'],['fruits autre'],0,0,0,0,0
2011-04-04,12233.0,11679.0,17373.0,0.0,0.0,0.0,0.0,"['radis / beurre', 'Coecur de boeuf sauce dijonnaise', 'purée de p de terre', 'Yaourt aro']",0.0,0.0,0.0,0.0,0.0,0.0,267,933,62,0.0,0.0,0.0,0.0,Lundi,14,Avril,2010-2011,0.0,554.0,4.528733752963296,0,1,0,0.0,0.0,['radis / beurre'],['Coecur de boeuf sauce dijonnaise'],['purée de p de terre'],['Yaourt aro'],,['legumes racines'],['Boeuf'],['pomme de terre'],['Lait'],,0,0,0,0,0
